date,id,content,media,username
2023-04-10 17:11:36+00:00,1645474625076199440,"Interesting #Python about pathlib and the way to process file/directories from a #Py file #script

You will learn :

- #Check if a file / directory exists
-  #Create a directory
- #Move / rename a file / directory
- Get the new  of a file / directory
- Get the name of the parent…",,DanielK_phd
2023-04-10 17:11:36+00:00,1645474624719683610,"Interesting #Python about pathlib and the way to process file/directories from a #Py file #script

You will learn :

- #Check if a file / directory exists
-  #Create a directory
- #Move / rename a file / directory
- Get the new  of a file / directory
- Get the name of the parent…",,DanielK_phd
2023-04-10 17:10:57+00:00,1645474460110290945,このご時世なのに、外出すると１００％空き巣されるという嘘のような現実。   #タイムセール　#アマゾン　#amazon #家電　#楽天市場　#楽天スーパーセール　#python  #立直平和胃痛満貫  話題now  #本田くん祝28歳笑顔満開バースデー   https://t.co/27gMfIuHV1,,onenightparis1
2023-04-10 17:10:03+00:00,1645474236121612297,"🚀 Samsara is hiring Senior Software Engineer  

💰 USD 116k-171k 
🛖 #remote #wfh 
💪 #javascript #python #vue #vuejs #aws 

#tech #softwareengineer #jobs 
https://t.co/sAIBFXLAci",,echojobs_io
2023-04-10 17:10:03+00:00,1645474234959888384,"🦄 Samsara is hiring Senior Software Engineer 

🌇 Poland 
💪 #FullStack #python #microservices #go #golang #typescript 

#tech #softwareengineer #jobs 
https://t.co/HkBtKUKflE",,echojobs_io
2023-04-10 17:07:35+00:00,1645473611958845446,"[定期]
こんにちは、私の名前はGPBiPです
GPBiPとは、とある #Discord のボットです
ミュージック機能などもありますが、目標は
「痒い所に手が届く」ようにすること

公式Discordサーバはこちら!
https://t.co/BCzyiaOMsp

導入はこちら!
https://t.co/vbt81BvMAW

#bot #Python #GPBiP",,discord_GPBiP
2023-04-10 17:07:11+00:00,1645473512289861633,"ChatGPT API - @OpenAI  Using Python  with Machine Learning example.

Have a look at the complete version of the article 👉 : https://t.co/xHA8p6xXvt

#chatgpt #chagptapi #api #python #ml https://t.co/0Ju7owi8h4","[Photo(previewUrl='https://pbs.twimg.com/media/FtXlQ_BaEAEXTb6?format=png&name=small', fullUrl='https://pbs.twimg.com/media/FtXlQ_BaEAEXTb6?format=png&name=orig', altText=None)]",shahneel2409
2023-04-10 17:06:19+00:00,1645473292793565185,Using Python to Access Web Data #Python https://t.co/IBJKbgFOPq,,DD_Wen_
2023-04-10 17:05:49+00:00,1645473169807900680,"Then adding this extra in after fiddling for a minute or so, I was matching, albeit at a significantly greater time cost, as the regex is more complex and slower.

I've not tried the 'regex' module yet, but just noting that the default #python regex behavior here, is wrong. 5/5",,hpcjoe
2023-04-10 17:05:46+00:00,1645473156772003855,There have been 2 movement(s) in the last  11 Minuites in the nestbox. #bluetit #nestbox #nature #gatwick #RaspberryPi #python #opencv #picamera2 #Arducam #STARVIS https://t.co/6puoroTiXy,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1645473148307898381/pu/img/4u9mK5DFK4QE0kWM.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1645473148307898381/pu/pl/zVaHjUxFPePP29ah.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1645473148307898381/pu/vid/320x180/VrZxB2GeYsOP3igx.mp4?tag=12', contentType='video/mp4', bitrate=256000)], duration=15.2, views=0, altText=None)]",pgoodgame
2023-04-10 17:05:02+00:00,1645472972541394951,"📈😎 ¿Gráficos engañosos? ¡No gracias! En lugar de manipular datos, optemos por la honestidad y transparencia en nuestras representaciones visuales. 

#NoMisleadingGraphs #dataviz #datavisualization #stats #python #rstats https://t.co/KmyynHmQcV","[Photo(previewUrl='https://pbs.twimg.com/media/FtXk8n9WAAo-TC-?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FtXk8n9WAAo-TC-?format=jpg&name=orig', altText=None)]",RosanaFerrero
2023-04-10 17:04:35+00:00,1645472859354185728,"Python基本構文の備忘録
classの特殊メソッド(算術計算編2)
__floordiv__(self, other) : self // other
__mod__(self, other) : self % other
__pow__(self, other) : self ** other
#プログラミング #Python",,OjiTec
